Impuesto específico,Año,Valor,Impuesto,Agregación,Impuesto_alt,Índice,Valor (Constantes - 18)
Arancel,2021,4789452.571045105,Arancel,Actividad externa,Otros,111.41,4298943.156848673
Por clasificar,2021,216185.38251900004,Por clasificar,Por clasificar,Otros,111.41,194044.86358405894
Renta cuotas,2022,24194067.26601,Renta,Actividad interna,Renta,126.03,19197069.956367534
Retención en la fuente a título de renta,2022,78995744.21061897,Renta,Actividad interna,Renta,126.03,62680111.25178051
Declaraciones IVA,2022,45349922.185373,IVA,Actividad interna,IVA,126.03,35983434.25007776
Retención en la fuente a título de IVA,2022,11089596.996988842,IVA,Actividad interna,IVA,126.03,8799172.416876016
Timbre nacional,2022,134468.36566819315,Timbre nacional,Actividad interna,Otros,126.03,106695.52143790617
G.M.F.,2022,12676743.777,G.M.F.,Actividad interna,Otros,126.03,10058512.875505833
Patrimonio,2022,62698.72486,Patrimonio,Actividad interna,Otros,126.03,49749.047734666354
Riqueza,2022,10612.756803,Riqueza,Actividad interna,Otros,126.03,8420.817902880266
Impuesto al consumo,2022,2897785.451904,Impuesto al consumo,Actividad interna,Otros,126.03,2299282.2755724825
Impuesto gasolina y ACPM,2022,2186240.474985,Impuesto gasolina y ACPM,Actividad interna,Otros,126.03,1734698.4646393717
Impuesto al carbono,2022,423903.886,Impuesto al carbono,Actividad interna,Otros,126.03,336351.5718479727
Declaraciones CREE,2022,53566.108256,CREE,Actividad interna,Otros,126.03,42502.66464809966
Retención CREE,2022,3347.096624,CREE,Actividad interna,Otros,126.03,2655.7935602634293
Impuesto unificado RST (Simple),2022,1191782.589,Impuesto unificado RST (Simple),Actividad interna,Otros,126.03,945634.0466555582
Impuesto de normalización tributaria,2022,233435.386744,Impuesto de normalización tributaria,Actividad interna,Otros,126.03,185222.0794604459
Consumo bienes inmuebles,2022,16521.748574,Consumo bienes inmuebles,Actividad interna,Otros,126.03,13109.377587875904
Productos plásticos de un solo uso,2022,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,126.03,0.0
Impuestos saludables - Bebidas azucaradas,2022,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,126.03,0.0
Impuestos saludables - Comestibles ultraprocesados,2022,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,126.03,0.0
IVA_ext,2022,41635012.91991914,IVA,Actividad externa,IVA,126.03,33035795.381987736
Arancel,2022,7057587.728226869,Arancel,Actividad externa,Otros,126.03,5599926.78586596
Por clasificar,2022,167181.329254,Por clasificar,Por clasificar,Otros,126.03,132652.01083392845
Renta cuotas,2023,50734447.25467299,Renta,Actividad interna,Renta,137.72,36838837.68129029
Retención en la fuente a título de renta,2023,96429321.20634732,Renta,Actividad interna,Renta,137.72,70018386.00518975
Declaraciones IVA,2023,53831574.61411001,IVA,Actividad interna,IVA,137.72,39087695.76975749
Retención en la fuente a título de IVA,2023,12433926.173101492,IVA,Actividad interna,IVA,137.72,9028409.94271093
Timbre nacional,2023,215679.180282164,Timbre nacional,Actividad interna,Otros,137.72,156607.014436657
G.M.F.,2023,14009341.210412,G.M.F.,Actividad interna,Otros,137.72,10172336.051707814
Patrimonio,2023,1211119.917535,Patrimonio,Actividad interna,Otros,137.72,879407.433586262
Riqueza,2023,10316.245012,Riqueza,Actividad interna,Otros,137.72,7490.73846354923
Impuesto al consumo,2023,3370207.913741,Impuesto al consumo,Actividad interna,Otros,137.72,2447144.8691119663
Impuesto gasolina y ACPM,2023,2384057.234,Impuesto gasolina y ACPM,Actividad interna,Otros,137.72,1731090.0624455418
Impuesto al carbono,2023,575273.6680000001,Impuesto al carbono,Actividad interna,Otros,137.72,417712.5094394424
Declaraciones CREE,2023,105946.007313,CREE,Actividad interna,Otros,137.72,76928.55599259367
Retención CREE,2023,3676.274314,CREE,Actividad interna,Otros,137.72,2669.383033691548
Impuesto unificado RST (Simple),2023,1833598.69,Impuesto unificado RST (Simple),Actividad interna,Otros,137.72,1331396.0862619807
Impuesto de normalización tributaria,2023,4986.117616,Impuesto de normalización tributaria,Actividad interna,Otros,137.72,3620.474597734534
Consumo bienes inmuebles,2023,25462.805,Consumo bienes inmuebles,Actividad interna,Otros,137.72,18488.821521928552
Productos plásticos de un solo uso,2023,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,137.72,0.0
Impuestos saludables - Bebidas azucaradas,2023,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,137.72,0.0
Impuestos saludables - Comestibles ultraprocesados,2023,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,137.72,0.0
IVA_ext,2023,35239463.20580555,IVA,Actividad externa,IVA,137.72,25587760.097157672
Arancel,2023,6191114.463112459,Arancel,Actividad externa,Otros,137.72,4495436.002840879
Por clasificar,2023,308226.74328099994,Por clasificar,Por clasificar,Otros,137.72,223806.81330307867
